id,name,slug,category,skus,price_amounts,stock_values,dietary_tags,allergens,issues
b738fcfa-dba8-44a1-b496-dfb2a8dcb59b,"Sos chili Sriracha, bardzo ostry (chili 61%) 730ml - Flying Goose",KIMCHI-838,"Sosy, marynaty",KIMCHI-838,25.5|25.5,100,,,missing_allergens|missing_storage_zone|missing_english_translation
8bd50c35-d933-4851-b7b7-a4e0afd852d2,"Sos chili Sriracha Blackout, ekstremalnie ostry 455ml - Flying Goose",KIMCHI-1423,"Sosy, marynaty",KIMCHI-1423,37.5|37.5,100,,,missing_allergens|missing_storage_zone|missing_english_translation
62472857-4cba-49b7-a4f0-4a2f38ffeb37,Sos chili Sriracha ketchup 200ml - Crying Thaiger,KIMCHI-4217,"Sosy, marynaty",KIMCHI-4217,3.9|3.9,100,,,missing_allergens|missing_english_translation
e3b70c6c-5b9f-4081-8918-94df3c9e621f,"Sos chili Sriracha Mayoo, łagodnie pikantny (chili 20%) 200ml - Flying Goose",KIMCHI-811,"Sosy, marynaty",KIMCHI-811,13.7|13.7,100,,soybeans|mustard,missing_storage_zone|missing_english_translation
6cedb741-2ca0-40f9-8229-d24a021bed9b,"Sos chili Sriracha Mayoo, łagodnie pikantny (chili 20%) 455ml - Flying Goose",KIMCHI-760,"Sosy, marynaty",KIMCHI-760,22.99|22.99,100,,soybeans|mustard,missing_storage_zone|missing_english_translation
cebeaaac-4b94-4fca-966e-1714104835b1,"Sos chili Sriracha Mayoo, łagodnie pikantny (chili 20%) 730ml - Flying Goose",KIMCHI-1058,"Sosy, marynaty",KIMCHI-1058,29.99|29.99,100,,soybeans|mustard,missing_storage_zone|missing_english_translation
cce96d14-37af-40ca-b4e8-58cd2e9a553c,"Sos chili Sriracha, średnio ostry 433 ml (481g) - Huy Fong",KIMCHI-5198,"Sosy, marynaty",KIMCHI-5198,39.99|39.99,100,,sulphites,missing_unit_price|missing_english_translation
a418903f-3562-42dc-b9a4-b02c4aa9d136,"Sos chili Sriracha z czosnkiem, bardzo ostry (chili 51%) 200ml - Flying Goose",KIMCHI-440,"Sosy, marynaty",KIMCHI-440,13.7|13.7,100,,,missing_allergens|missing_storage_zone|missing_english_translation
28810d83-1b5b-453d-b678-1936013f7f67,"Sos chili Sriracha z czosnkiem, ostry (51% chili) 730ml - Flying Goose",KIMCHI-836,"Sosy, marynaty",KIMCHI-836,30.5|30.5,100,,,missing_allergens|missing_storage_zone|missing_english_translation
39090034-fe6f-44dd-93af-8b9661578a96,"Sos chili z czosnkiem, pikantny 368g - Lee Kum Kee",KIMCHI-1287,"Sosy, marynaty",KIMCHI-1287,17.5|17.5,100,,,missing_allergens|missing_country|missing_english_translation
ac86660f-11d0-4217-b1de-e9a7543d17d1,"Sos Cho Gochujang, ostro-kwaśny 300g - CJO Classic",KIMCHI-1290,"Sosy, marynaty",KIMCHI-1290,13.7|13.7,100,,cereals|soybeans|mustard|sesame,missing_english_translation
4e84e84d-2447-43b2-809b-99e363fdb680,Sos czosnkowy 400g - Fanex,KIMCHI-3912,"Sosy, marynaty",KIMCHI-3912,10.99|10.99,100,,milk|mustard,missing_english_translation
18a7b5c7-48ae-4c0f-9f64-68c287ac33fd,"Sos do dań z woka, łagodny 80g - Sen Soy",KIMCHI-2577,"Sosy, marynaty",KIMCHI-2577,7.4|7.4,100,,cereals|soybeans|sesame|molluscs,missing_storage_zone|missing_english_translation
ac5f717d-5b27-4bcc-9471-f51b046b47c3,Sos do makaronu Pad Thai 80g - Sen Soy,KIMCHI-2538,"Sosy, marynaty",KIMCHI-2538,7.4|7.4,100,,cereals|fish|soybeans|molluscs,missing_country|missing_storage_zone|missing_english_translation
849b967b-398f-4639-bba2-c4254162b5b1,"Sos do Sindangdong Topokki, saszetka 180g - Sempio",KIMCHI-1387,"Sosy, marynaty",KIMCHI-1387,13.5|13.5,100,,cereals|soybeans,missing_country|missing_storage_zone|missing_english_translation
abb37ea8-e700-4d1c-a5bc-2d953fa3d940,"Sos do topokki Spicy, saszetka 150g - Sempio",KIMCHI-1389,"Sosy, marynaty",KIMCHI-1389,9.99|9.99,100,,cereals|fish|soybeans|molluscs,missing_country|missing_storage_zone|missing_english_translation
301ae8cb-a242-4f19-8b39-c93272fa93cb,"Sos do topokki Sweet&Spicy, saszetka 150g - Sempio",KIMCHI-1388,"Sosy, marynaty",KIMCHI-1388,9.99|9.99,100,,cereals|soybeans,missing_country|missing_storage_zone|missing_english_translation
15f8886e-aa4e-4a9f-bbb3-8f3dbe9679bc,"Sos do tteokbokki, słodko-ostry 480g - Surasang",KIMCHI-2859,"Sosy, marynaty",KIMCHI-2859,35.9|35.9,100,,cereals|soybeans,missing_english_translation
7faecaf5-5605-4a4d-965b-3450b8cc01b0,Sos duński remoulada 400g - Fanex,KIMCHI-3913,"Sosy, marynaty",KIMCHI-3913,12.5|12.5,100,,milk|celery|mustard,missing_english_translation
e32dad4f-b823-4249-af5d-c5ba60b30355,Sos Gochujang Bulgogi 150ml - House of Asia,KIMCHI-5801,Sosy / Marynaty / Oleje,KIMCHI-5801,12.9|12.9,100,vegetarian,cereals|soybeans,missing_english_translation
dfa8a01f-b360-48bb-8d31-2c127f8ed79e,Sos Hoisin 200ml - Flying Goose,KIMCHI-386,Unmapped,KIMCHI-386,12.99|12.99,100,,cereals|soybeans|crustaceans|sesame|molluscs,missing_english_translation
