review_id,draft_sku,image_order_for_sku,image_file,source_image_path,proposed_media_key
folder14-012,ADG-001803,1,PETE8063.JPG,/tmp/asiandeligo-owner-images/folder14-batch001/extracted/PETE8063.JPG,owner-images/folder14/ADG-001803/01-PETE8063.JPG
folder14-013,ADG-001804,1,PETE8057.JPG,/tmp/asiandeligo-owner-images/folder14-batch001/extracted/PETE8057.JPG,owner-images/folder14/ADG-001804/01-PETE8057.JPG
folder14-014,ADG-001805,1,PETE8067.JPG,/tmp/asiandeligo-owner-images/folder14-batch001/extracted/PETE8067.JPG,owner-images/folder14/ADG-001805/01-PETE8067.JPG
folder14-015,ADG-001806,1,PETE8092.JPG,/tmp/asiandeligo-owner-images/folder14-batch001/extracted/PETE8092.JPG,owner-images/folder14/ADG-001806/01-PETE8092.JPG
folder14-016,ADG-001807,1,PETE8094.JPG,/tmp/asiandeligo-owner-images/folder14-batch001/extracted/PETE8094.JPG,owner-images/folder14/ADG-001807/01-PETE8094.JPG
folder14-017,ADG-001808,1,PETE8099.JPG,/tmp/asiandeligo-owner-images/folder14-batch002/extracted/PETE8099.JPG,owner-images/folder14/ADG-001808/01-PETE8099.JPG
folder14-018,ADG-001809,1,PETE8101.JPG,/tmp/asiandeligo-owner-images/folder14-batch002/extracted/PETE8101.JPG,owner-images/folder14/ADG-001809/01-PETE8101.JPG
folder14-019,ADG-001810,1,PETE8102.JPG,/tmp/asiandeligo-owner-images/folder14-batch002/extracted/PETE8102.JPG,owner-images/folder14/ADG-001810/01-PETE8102.JPG
folder14-020,ADG-001811,1,PETE8104.JPG,/tmp/asiandeligo-owner-images/folder14-batch002/extracted/PETE8104.JPG,owner-images/folder14/ADG-001811/01-PETE8104.JPG
folder14-022,ADG-001812,1,PETE8106.JPG,/tmp/asiandeligo-owner-images/folder14-batch002/extracted/PETE8106.JPG,owner-images/folder14/ADG-001812/01-PETE8106.JPG
folder14-023,ADG-001813,1,PETE8107.JPG,/tmp/asiandeligo-owner-images/folder14-batch002/extracted/PETE8107.JPG,owner-images/folder14/ADG-001813/01-PETE8107.JPG
