field_key,source_table,source_column,product_id,product_image_id,product_code,legacy_kimchi_slug,product_slug,image_file,source_url,target_url,source_http_status,source_http_ok,source_content_type,source_content_length,notes
product_images:e90ad978-4ed7-4044-b55d-12ec96372e53:image_large_url,product_images,image_large_url,e4e1e936-ba74-4c40-a06a-ce9630d9fbca,e90ad978-4ed7-4044-b55d-12ec96372e53,ADG-000011,KIMCHI-31,paleczki-bambusowe-21cm-w-kopertach-100-par,1.webp,https://img.zira.pl/asiandeligo/products/KIMCHI-31/1.webp,https://img.zira.pl/asiandeligo/products/ADG-000011/1.webp,200,true,image/webp,27812,
products:557bf303-22f4-415e-8d0a-daa0ab29dfdd:image_url,products,image_url,557bf303-22f4-415e-8d0a-daa0ab29dfdd,,ADG-000012,KIMCHI-35,sos-marynata-teriyaki-300ml-yamasa,1.webp,https://img.zira.pl/asiandeligo/products/KIMCHI-35/1.webp,https://img.zira.pl/asiandeligo/products/ADG-000012/1.webp,200,true,image/webp,42272,
product_images:5c9909a6-6776-4672-b51a-80ca160291cf:image_large_url,product_images,image_large_url,557bf303-22f4-415e-8d0a-daa0ab29dfdd,5c9909a6-6776-4672-b51a-80ca160291cf,ADG-000012,KIMCHI-35,sos-marynata-teriyaki-300ml-yamasa,1.webp,https://img.zira.pl/asiandeligo/products/KIMCHI-35/1.webp,https://img.zira.pl/asiandeligo/products/ADG-000012/1.webp,200,true,image/webp,42272,
products:fcb4e219-4932-4bf0-8774-4e1e0b481849:image_url,products,image_url,fcb4e219-4932-4bf0-8774-4e1e0b481849,,ADG-000013,KIMCHI-38,makaron-ryzowy-lami-m-do-pho-500g-hiep-long,1.webp,https://img.zira.pl/asiandeligo/products/KIMCHI-38/1.webp,https://img.zira.pl/asiandeligo/products/ADG-000013/1.webp,200,true,image/webp,57154,
product_images:93e53325-18ef-40bb-9d4a-f55e25f6721b:image_large_url,product_images,image_large_url,fcb4e219-4932-4bf0-8774-4e1e0b481849,93e53325-18ef-40bb-9d4a-f55e25f6721b,ADG-000013,KIMCHI-38,makaron-ryzowy-lami-m-do-pho-500g-hiep-long,1.webp,https://img.zira.pl/asiandeligo/products/KIMCHI-38/1.webp,https://img.zira.pl/asiandeligo/products/ADG-000013/1.webp,200,true,image/webp,57154,
products:33b0bd6b-b697-4b01-ad4d-405380eda556:image_url,products,image_url,33b0bd6b-b697-4b01-ad4d-405380eda556,,ADG-000014,KIMCHI-39,makaron-ryzowy-vermicelli-nitki-454g-farmer,1.webp,https://img.zira.pl/asiandeligo/products/KIMCHI-39/1.webp,https://img.zira.pl/asiandeligo/products/ADG-000014/1.webp,200,true,image/webp,80494,
product_images:a3ce2b6f-5ef3-444f-920d-0b59a435ba2c:image_large_url,product_images,image_large_url,33b0bd6b-b697-4b01-ad4d-405380eda556,a3ce2b6f-5ef3-444f-920d-0b59a435ba2c,ADG-000014,KIMCHI-39,makaron-ryzowy-vermicelli-nitki-454g-farmer,1.webp,https://img.zira.pl/asiandeligo/products/KIMCHI-39/1.webp,https://img.zira.pl/asiandeligo/products/ADG-000014/1.webp,200,true,image/webp,80494,
products:546df607-902a-4a38-b5d6-d0c74d422289:image_url,products,image_url,546df607-902a-4a38-b5d6-d0c74d422289,,ADG-000015,KIMCHI-40,makaron-ryzowy-do-dania-bun-cha-500g-hiep-long,1.webp,https://img.zira.pl/asiandeligo/products/KIMCHI-40/1.webp,https://img.zira.pl/asiandeligo/products/ADG-000015/1.webp,200,true,image/webp,61648,
product_images:0f79818a-fae2-472b-911a-9bb306b6961f:image_large_url,product_images,image_large_url,546df607-902a-4a38-b5d6-d0c74d422289,0f79818a-fae2-472b-911a-9bb306b6961f,ADG-000015,KIMCHI-40,makaron-ryzowy-do-dania-bun-cha-500g-hiep-long,1.webp,https://img.zira.pl/asiandeligo/products/KIMCHI-40/1.webp,https://img.zira.pl/asiandeligo/products/ADG-000015/1.webp,200,true,image/webp,61648,
products:1fdfd24b-9a0f-466d-9334-2efff41e094b:image_url,products,image_url,1fdfd24b-9a0f-466d-9334-2efff41e094b,,ADG-000016,KIMCHI-41,makaron-pszenny-chow-mien-200g-bali-kitchen,1.webp,https://img.zira.pl/asiandeligo/products/KIMCHI-41/1.webp,https://img.zira.pl/asiandeligo/products/ADG-000016/1.webp,200,true,image/webp,69534,
